Tokenized_Tweet,Corrected_Token
"['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positifcterjangkit', 'covid', 'opm']","['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positifcterjangkit', 'covid', 'organisasi', 'papua', 'merdeka']"
"['bumimaafkan', 'kamiyang', 'tak', 'pernah', 'sadar', 'bahwa', 'kau', 'juga', 'butuh', 'istirahat']","['bumimaafkan', 'kamiyang', 'tak', 'pernah', 'sadar', 'bahwa', 'kau', 'juga', 'butuh', 'istirahat']"
"['kalau', 'ga', 'ada', 'covid', 'jam', 'segini', 'gue', 'udah', 'mulai', 'pendakian', 'dari', 'pos', 'cangkuang']","['kalau', 'ga', 'ada', 'covid', 'jam', 'segini', 'gue', 'udah', 'mulai', 'pendakian', 'dari', 'pos', 'cangkuang']"
"['developers', 'biang', 'rusuh', 'proyek', 'konstruksi', 'swasta', 'termasuk', 'yg', 'dikecualikan', 'untuk', 'freeze', 'dlm', 'psbb', 'dki', 'oleh', 'gub', 'pdhl', 'dlm', 'permenkes', 'tdk', 'termasuk', 'yg', 'dikecualikan', 'juga', 'proyek', 'konstruksi', 'besar', 'berpotensi', 'menjadi', 'kluster', 'penyebaran', 'covid', 'krn', 'padat', 'bijimane', 'nih']","['developers', 'biang', 'rusuh', 'proyek', 'konstruksi', 'swasta', 'termasuk', 'yg', 'dikecualikan', 'untuk', 'freeze', 'dlm', 'psbb', 'daerah', 'khusus', 'ibukota', 'oleh', 'gubernur', 'pdhl', 'dlm', 'permenkes', 'tdk', 'termasuk', 'yg', 'dikecualikan', 'juga', 'proyek', 'konstruksi', 'besar', 'berpotensi', 'menjadi', 'kluster', 'penyebaran', 'covid', 'krn', 'padat', 'bagaimana', 'ini']"
"['kalau', 'tidak', 'dimulai', 'dari', 'diri', 'sendiri', 'mana', 'mungkinyukkkkita', 'putus', 'mata', 'rantai', 'penyemangat', 'covid', 'di', 'indonesia', 'dimulai', 'dari', 'diri', 'sendiri']","['kalau', 'tidak', 'dimulai', 'dari', 'diri', 'sendiri', 'mana', 'mungkinyukkkkita', 'putus', 'mata', 'rantai', 'penyemangat', 'covid', 'di', 'indonesia', 'dimulai', 'dari', 'diri', 'sendiri']"
"['sinergitas', 'tnipolri', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']","['sinergitas', 'tnipolri', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']"
"['kucing', 'bukan', 'penyebar', 'covid', 'kepada', 'manusia', 'jabatan', 'perkhidmatan', 'veterinar']","['kucing', 'bukan', 'penyebar', 'covid', 'kepada', 'manusia', 'jabatan', 'perkhidmatan', 'veterinar']"
"['pemkab', 'wondama', 'perbanyak', 'pos', 'pemantauan', 'covid', 'opm']","['pemerintah', 'kabupaten', 'wondama', 'perbanyak', 'pos', 'pemantauan', 'covid', 'organisasi', 'papua', 'merdeka']"
"['covid', 'pelajar', 'unimas', 'berusia', 'tahun', 'maut']","['covid', 'pelajar', 'unimas', 'berusia', 'tahun', 'maut']"
"['murid', 'mamaku', 'dikasih', 'tugas', 'menggambar', 'poster', 'pencegahan', 'covid', 'anaknya', 'malah', 'pada', 'nggambar', 'virus', 'segede', 'gaban', 'dibawahnya', 'dikasih', 'tulisan', 'ya', 'allah', 'lindungilah', 'aku']","['murid', 'mamaku', 'dikasih', 'tugas', 'menggambar', 'poster', 'pencegahan', 'covid', 'anaknya', 'malah', 'pada', 'nggambar', 'virus', 'sebesar', 'gaban', 'dibawahnya', 'dikasih', 'tulisan', 'ya', 'allah', 'lindungilah', 'aku']"
